Name,Feature,Layout,Price,Comment,Equipment
FREE_WIFI_Homestay@Mapo Miffy's B&B,中文房东,None,219,139,无线网络  厨房  洗衣机  免费停车位  
[H1] Vin's Amazing view & location in Gangnam!,中文房东,None,439,130,无线网络  厨房  洗衣机  
Lovely Apartment w/ Terrace. View to N-Seoul Tower,整套公寓,1室1卫1床,462,110,无线网络  厨房  洗衣机  免费停车位  
Economy double room(a double bed),独立房间,1室1卫1床,274,78,无线网络  厨房  洗衣机  
5秒到地铁(东庙站)｡东大门地区｡10分到明洞,中文房东,None,454,116,无线网络  厨房  洗衣机  
[Myeong-dong] Mono House (new open discount),整间阁楼,2室1卫2床,345,46,无线网络  厨房  洗衣机  
Center of seoul Gang-nam / City view / 24H guard.,整套公寓,1室1卫1床,305,38,无线网络  厨房  洗衣机  
NEW[OPEN SALE]MIRACLE HOUSEIN SEOUL [BEST PRICE],独立房间,1室1卫1床,204,126,无线网络  厨房  洗衣机  免费停车位  
"Gangnam,Garosu-gil, JINJIN house",整套公寓,1室1卫1床,470,94,无线网络  厨房  洗衣机  
High Ceiling White House /Yeonnam-dong,整间阁楼,1室2卫2床,619,91,无线网络  厨房  洗衣机  
1 minute HyochangPark station line6,独立房间,1室1卫1床,149,101,无线网络  厨房  
#2 Connected to Mapo Stn./HAN River view/Hongdae,整套公寓,1室1卫2床,274,151,无线网络  厨房  洗衣机  免费停车位  
[Myeongdong] #07Jongno Hans'house(Luggage Storage),整间阁楼,1室1卫2床,431,79,无线网络  厨房  洗衣机  
2Rooms!_[Planterior House4]_3mins_HongikUniv stn,整套房子,2室1卫3床,376,79,无线网络  厨房  洗衣机  
[Myeongdong] Jongno Hans' house 1(Luggage Storage),整间阁楼,1室1卫4床,431,76,无线网络  厨房  洗衣机  
Duplex Studio / Seoul Station / Myeongdong,整间阁楼,1室1卫4床,454,143,无线网络  厨房  洗衣机  
[Seoul station] Cosy house,整套公寓,2室1卫2床,345,101,无线网络  厨房  洗衣机  
[HongDae] Best location at Seoul,整套公寓,1室1卫2床,470,143,无线网络  厨房  洗衣机  
FreeWifi_[Planterior House1]_3mins HongikUniv stn,整套房子,1室1卫3床,415,146,无线网络  厨房  洗衣机  
[Seoul Han river view] Great place!,整套公寓,1室1卫4床,274,165,无线网络  厨房  洗衣机  
明洞Basecamp803市景阁楼+Free WiFi,整套公寓,1室1卫1床,532,121,无线网络  厨房  洗衣机  
Moonhouse #303 *Near Hongdae*,中文房东,None,298,90,无线网络  厨房  洗衣机  免费停车位  
#5 Connceted to Mapo Stn./HAN River View/Hongdae,整套公寓,1室1卫1床,274,50,无线网络  厨房  洗衣机  免费停车位  
#Exit No.3(会说汉语) 10sec. Hongdae Stn. (Hongik Univ),中文房东,None,407,204,无线网络  厨房  洗衣机  
+Center of Seoul+4min to Myeongdong by Subway,整套公寓,单间1卫1床,313,195,无线网络  厨房  洗衣机  
